topic_id,topic_title,topic_url,forum_id,forum_name,topic_description,actual_start_date,actual_end_date,actual_year,date_precision,date_confidence,forum_post_date,participants_count,participants
53049318,Forse doveva succedere...forse fa tutto parte del gioco,https://fengardgiocate.forumcommunity.net/?t=53049318,998077,FENGARD,26 01 2004 Cattedrale Fengard,2004-01-26,2004-01-26,2004,day,high,2012-11-21,2,Rhyannor; Vahn
53053556,Cadavere in Cattedrale!,https://fengardgiocate.forumcommunity.net/?t=53053556,998077,FENGARD,31 01 2004 Cattedrale Fengard,2004-01-31,2004-01-31,2004,day,high,2012-11-21,6,Aradael; Asmodeo; Cloud; Eshtar; Kazuya; Vahn
53053645,Vendetta..,https://fengardgiocate.forumcommunity.net/?t=53053645,998166,GHILEAS,31 1 2004 Grande bivacco Ghileas,2004-01-31,2004-01-31,2004,day,high,2012-11-21,3,GandalfI; SonoNeroInferno; Vahn
53621147,E ti pareva.. c'è da mangiar a scrocco e arrivan tutti..,https://fengardgiocate.forumcommunity.net/?t=53621147,998166,GHILEAS,2004-02-01 — Febbraio 2004 Bivacco Bosco Ghileas,2004-02-01,2004-02-01,2004,day,high,2013-02-02,8,Alerik; Corwin; Isthar; Maseeri; Melisandre; Shana; Tyrek; Vahn
53196358,Ma allora non è il..,https://fengardgiocate.forumcommunity.net/?t=53196358,998077,FENGARD,3 02 2004 Cattedrale Mistici Fengard,2004-02-03,2004-02-03,2004,day,high,2012-12-10,2,Cloud; Vahn
53618994,Riunione al Bivacco,https://fengardgiocate.forumcommunity.net/?t=53618994,998166,GHILEAS,5 2 2004 Bivacco Bosco Ghileas,2004-02-05,2004-02-05,2004,day,high,2012-11-24,11,Corwin; Faelya; FortuneShadow; GandalfI; Hispanico; Imzadi; Isthar; SonoNeroInferno; Thamior; ThamiorLothain; Vahn
61653621,Il ciondolo d'argento.,https://fengardgiocate.forumcommunity.net/?t=61653621,998167,GHILEAS,2004 2 6 Ghileas Cueva Vahn Fanari Arcannas ThamiorLothain SonoNeroInferno GandalfI,2004-02-06,2004-02-06,2004,day,high,2020-04-19,6,Arcannas; Fanari; GandalfI; SonoNeroInferno; ThamiorLothain; Vahn
15089422,Matrimonio “Rhyannor faroth”,https://fengardgiocate.forumcommunity.net/?t=15089422,998077,FENGARD,8 febbraio 2004 Cattedrale Fengard,2004-02-08,2004-02-08,2004,day,high,2008-04-29,11,Eiko; Eshtar; faroth; Feredil; Lenian; Malaeth; Rhyannor; Stoneaxe; ThamiorLothain; Unicorn; william
53094095,Il ciondolo di Arcannas,https://fengardgiocate.forumcommunity.net/?t=53094095,998167,GHILEAS,9 2 2004 Cueva Ghileas,2004-02-09,2004-02-09,2004,day,high,2012-11-27,6,Arcannas; Fanari; GandalfI; SonoNeroInferno; ThamiorLothain; Vahn
53094383,Rime notturne,https://fengardgiocate.forumcommunity.net/?t=53094383,8350732,GHILEAS,9 2 2004 Molo Ghileas,2004-02-09,2004-02-09,2004,day,high,2012-11-27,5,AlexDeLarge; Isthar; Qoelet; ThamiorLothain; Vahn
