topic_id,topic_title,topic_url,forum_name,actual_start_date,actual_year,date_confidence,character
55030972,"La Corte rinascerà, con o senza Ghigno.",https://fengardgiocate.forumcommunity.net/?t=55030972,GHILEAS,2006-03-14,2006,high,Field
55030972,"La Corte rinascerà, con o senza Ghigno.",https://fengardgiocate.forumcommunity.net/?t=55030972,GHILEAS,2006-03-14,2006,high,Melisandre
55030972,"La Corte rinascerà, con o senza Ghigno.",https://fengardgiocate.forumcommunity.net/?t=55030972,GHILEAS,2006-03-14,2006,high,Miguel
55030972,"La Corte rinascerà, con o senza Ghigno.",https://fengardgiocate.forumcommunity.net/?t=55030972,GHILEAS,2006-03-14,2006,high,Nicole
55030972,"La Corte rinascerà, con o senza Ghigno.",https://fengardgiocate.forumcommunity.net/?t=55030972,GHILEAS,2006-03-14,2006,high,Vahn
6610591,il nuovo mozzo e la mascotte della marina,https://fengardgiocate.forumcommunity.net/?t=6610591,LAMAR,2006-03-20,2006,high,Devan
6610591,il nuovo mozzo e la mascotte della marina,https://fengardgiocate.forumcommunity.net/?t=6610591,LAMAR,2006-03-20,2006,high,Elrik
6610591,il nuovo mozzo e la mascotte della marina,https://fengardgiocate.forumcommunity.net/?t=6610591,LAMAR,2006-03-20,2006,high,Krellem
6610591,il nuovo mozzo e la mascotte della marina,https://fengardgiocate.forumcommunity.net/?t=6610591,LAMAR,2006-03-20,2006,high,Nathan
55031010,"Sei, sei il ricordo vivente della, della mia morte.",https://fengardgiocate.forumcommunity.net/?t=55031010,GHILEAS,2006-03-26,2006,high,Miguel
55031010,"Sei, sei il ricordo vivente della, della mia morte.",https://fengardgiocate.forumcommunity.net/?t=55031010,GHILEAS,2006-03-26,2006,high,Vahn
61611485,"...Troppe persone per una sola faccia, o troppe facce per un solo corpo...",https://fengardgiocate.forumcommunity.net/?t=61611485,GHILEAS,2006-03-28,2006,high,Corwin
61611485,"...Troppe persone per una sola faccia, o troppe facce per un solo corpo...",https://fengardgiocate.forumcommunity.net/?t=61611485,GHILEAS,2006-03-28,2006,high,Vahn
15567992,Daine merlinho,https://fengardgiocate.forumcommunity.net/?t=15567992,I Pg e i Players,2006-04-01,2006,high,Daine
15567992,Daine merlinho,https://fengardgiocate.forumcommunity.net/?t=15567992,I Pg e i Players,2006-04-01,2006,high,merlinho
7440247,discorsi strani e … cose così!,https://fengardgiocate.forumcommunity.net/?t=7440247,NECROMUNDA,2006-04-01,2006,medium,Isil
7440247,discorsi strani e … cose così!,https://fengardgiocate.forumcommunity.net/?t=7440247,NECROMUNDA,2006-04-01,2006,medium,knives
